platform,algorithm,operation,message_size,run,ops,latency_ms
ubuntu-linux,ecdsa-p256,sign,1MiB,28,1,0.825314
ubuntu-linux,ecdsa-p256,verify,1MiB,28,1,0.807951
ubuntu-linux,ecdsa-p256,sign,1MiB,29,1,0.826677
ubuntu-linux,ecdsa-p256,verify,1MiB,29,1,0.804005
ubuntu-linux,ecdsa-p256,sign,1MiB,30,1,0.836626
ubuntu-linux,ecdsa-p256,verify,1MiB,30,1,0.815977
ubuntu-linux,ecdsa-p256,sign,8MiB,1,1,4.250004
ubuntu-linux,ecdsa-p256,verify,8MiB,1,1,4.257959
ubuntu-linux,ecdsa-p256,sign,8MiB,2,1,4.256005
ubuntu-linux,ecdsa-p256,verify,8MiB,2,1,4.250996
ubuntu-linux,ecdsa-p256,sign,8MiB,3,1,4.328682
ubuntu-linux,ecdsa-p256,verify,8MiB,3,1,4.290089
ubuntu-linux,ecdsa-p256,sign,8MiB,4,1,4.289708
ubuntu-linux,ecdsa-p256,verify,8MiB,4,1,4.294508
ubuntu-linux,ecdsa-p256,sign,8MiB,5,1,4.278718
ubuntu-linux,ecdsa-p256,verify,8MiB,5,1,4.299807
ubuntu-linux,ecdsa-p256,sign,8MiB,6,1,4.303063
ubuntu-linux,ecdsa-p256,verify,8MiB,6,1,4.700222
ubuntu-linux,ecdsa-p256,sign,8MiB,7,1,4.902151
ubuntu-linux,ecdsa-p256,verify,8MiB,7,1,5.025685
ubuntu-linux,ecdsa-p256,sign,8MiB,8,1,4.752119
ubuntu-linux,ecdsa-p256,verify,8MiB,8,1,4.218374
ubuntu-linux,ecdsa-p256,sign,8MiB,9,1,4.219687
ubuntu-linux,ecdsa-p256,verify,8MiB,9,1,4.203526
ubuntu-linux,ecdsa-p256,sign,8MiB,10,1,4.250474
ubuntu-linux,ecdsa-p256,verify,8MiB,10,1,4.228553
ubuntu-linux,ecdsa-p256,sign,8MiB,11,1,4.255143
ubuntu-linux,ecdsa-p256,verify,8MiB,11,1,4.179180
ubuntu-linux,ecdsa-p256,sign,8MiB,12,1,4.182086
ubuntu-linux,ecdsa-p256,verify,8MiB,12,1,4.180773
ubuntu-linux,ecdsa-p256,sign,8MiB,13,1,4.182997
ubuntu-linux,ecdsa-p256,verify,8MiB,13,1,4.171005
ubuntu-linux,ecdsa-p256,sign,8MiB,14,1,4.197474
ubuntu-linux,ecdsa-p256,verify,8MiB,14,1,4.176686
ubuntu-linux,ecdsa-p256,sign,8MiB,15,1,4.206311
ubuntu-linux,ecdsa-p256,verify,8MiB,15,1,4.182196
ubuntu-linux,ecdsa-p256,sign,8MiB,16,1,4.221680
ubuntu-linux,ecdsa-p256,verify,8MiB,16,1,4.186183
ubuntu-linux,ecdsa-p256,sign,8MiB,17,1,4.234134
ubuntu-linux,ecdsa-p256,verify,8MiB,17,1,4.223433
ubuntu-linux,ecdsa-p256,sign,8MiB,18,1,4.224024
ubuntu-linux,ecdsa-p256,verify,8MiB,18,1,4.731710
ubuntu-linux,ecdsa-p256,sign,8MiB,19,1,4.268008
ubuntu-linux,ecdsa-p256,verify,8MiB,19,1,4.218574
ubuntu-linux,ecdsa-p256,sign,8MiB,20,1,4.228994
ubuntu-linux,ecdsa-p256,verify,8MiB,20,1,4.200700
ubuntu-linux,ecdsa-p256,sign,8MiB,21,1,4.228994
ubuntu-linux,ecdsa-p256,verify,8MiB,21,1,4.224686
ubuntu-linux,ecdsa-p256,sign,8MiB,22,1,4.219416
ubuntu-linux,ecdsa-p256,verify,8MiB,22,1,4.210409
ubuntu-linux,ecdsa-p256,sign,8MiB,23,1,4.234575
ubuntu-linux,ecdsa-p256,verify,8MiB,23,1,4.219837
ubuntu-linux,ecdsa-p256,sign,8MiB,24,1,4.226259
ubuntu-linux,ecdsa-p256,verify,8MiB,24,1,4.218885
ubuntu-linux,ecdsa-p256,sign,8MiB,25,1,4.322680
ubuntu-linux,ecdsa-p256,verify,8MiB,25,1,4.307301
ubuntu-linux,ecdsa-p256,sign,8MiB,26,1,4.386620
ubuntu-linux,ecdsa-p256,verify,8MiB,26,1,4.345112
ubuntu-linux,ecdsa-p256,sign,8MiB,27,1,4.311730
ubuntu-linux,ecdsa-p256,verify,8MiB,27,1,4.311039
ubuntu-linux,ecdsa-p256,sign,8MiB,28,1,4.411367
ubuntu-linux,ecdsa-p256,verify,8MiB,28,1,4.302933
ubuntu-linux,ecdsa-p256,sign,8MiB,29,1,4.433499
ubuntu-linux,ecdsa-p256,verify,8MiB,29,1,4.517818
ubuntu-linux,ecdsa-p256,sign,8MiB,30,1,4.488142
ubuntu-linux,ecdsa-p256,verify,8MiB,30,1,4.356233
ubuntu-linux,rsa-pss-3072,keygen,na,1,1,534.383135
ubuntu-linux,rsa-pss-3072,keygen,na,2,1,215.800062
ubuntu-linux,rsa-pss-3072,keygen,na,3,1,1048.593539
ubuntu-linux,rsa-pss-3072,keygen,na,4,1,385.345256
ubuntu-linux,rsa-pss-3072,keygen,na,5,1,434.573917
ubuntu-linux,rsa-pss-3072,keygen,na,6,1,265.063504
ubuntu-linux,rsa-pss-3072,keygen,na,7,1,323.268248
ubuntu-linux,rsa-pss-3072,keygen,na,8,1,1333.781016
ubuntu-linux,rsa-pss-3072,keygen,na,9,1,225.135252
ubuntu-linux,rsa-pss-3072,keygen,na,10,1,437.354141
ubuntu-linux,rsa-pss-3072,keygen,na,11,1,279.807861
ubuntu-linux,rsa-pss-3072,keygen,na,12,1,302.791903
ubuntu-linux,rsa-pss-3072,keygen,na,13,1,369.199925
ubuntu-linux,rsa-pss-3072,keygen,na,14,1,534.265766
ubuntu-linux,rsa-pss-3072,keygen,na,15,1,319.125916
ubuntu-linux,rsa-pss-3072,keygen,na,16,1,182.085196
ubuntu-linux,rsa-pss-3072,keygen,na,17,1,289.994282
ubuntu-linux,rsa-pss-3072,keygen,na,18,1,778.382058
ubuntu-linux,rsa-pss-3072,keygen,na,19,1,714.501260
ubuntu-linux,rsa-pss-3072,keygen,na,20,1,124.455144
ubuntu-linux,rsa-pss-3072,keygen,na,21,1,462.144032
ubuntu-linux,rsa-pss-3072,keygen,na,22,1,387.591336
ubuntu-linux,rsa-pss-3072,keygen,na,23,1,386.433496
ubuntu-linux,rsa-pss-3072,keygen,na,24,1,346.629788
ubuntu-linux,rsa-pss-3072,keygen,na,25,1,1081.711718
ubuntu-linux,rsa-pss-3072,keygen,na,26,1,315.391545
ubuntu-linux,rsa-pss-3072,keygen,na,27,1,388.555907
ubuntu-linux,rsa-pss-3072,keygen,na,28,1,535.224028
ubuntu-linux,rsa-pss-3072,keygen,na,29,1,389.429821
ubuntu-linux,rsa-pss-3072,keygen,na,30,1,165.274451
ubuntu-linux,rsa-pss-3072,sign,1KiB,1,1,2.291555
ubuntu-linux,rsa-pss-3072,verify,1KiB,1,1,0.308751
ubuntu-linux,rsa-pss-3072,sign,1KiB,2,1,2.260235
ubuntu-linux,rsa-pss-3072,verify,1KiB,2,1,0.307570
ubuntu-linux,rsa-pss-3072,sign,1KiB,3,1,2.250557
ubuntu-linux,rsa-pss-3072,verify,1KiB,3,1,0.293613
ubuntu-linux,rsa-pss-3072,sign,1KiB,4,1,2.264974
ubuntu-linux,rsa-pss-3072,verify,1KiB,4,1,0.299654
ubuntu-linux,rsa-pss-3072,sign,1KiB,5,1,2.261017
ubuntu-linux,rsa-pss-3072,verify,1KiB,5,1,0.292551
ubuntu-linux,rsa-pss-3072,sign,1KiB,6,1,2.257200
ubuntu-linux,rsa-pss-3072,verify,1KiB,6,1,0.292300
ubuntu-linux,rsa-pss-3072,sign,1KiB,7,1,2.250247
ubuntu-linux,rsa-pss-3072,verify,1KiB,7,1,0.307099
ubuntu-linux,rsa-pss-3072,sign,1KiB,8,1,2.247331
ubuntu-linux,rsa-pss-3072,verify,1KiB,8,1,0.296087
ubuntu-linux,rsa-pss-3072,sign,1KiB,9,1,2.278250
ubuntu-linux,rsa-pss-3072,verify,1KiB,9,1,0.340320
ubuntu-linux,rsa-pss-3072,sign,1KiB,10,1,2.290994
ubuntu-linux,rsa-pss-3072,verify,1KiB,10,1,0.338187
ubuntu-linux,rsa-pss-3072,sign,1KiB,11,1,2.309729
ubuntu-linux,rsa-pss-3072,verify,1KiB,11,1,0.355158
ubuntu-linux,rsa-pss-3072,sign,1KiB,12,1,2.305581
ubuntu-linux,rsa-pss-3072,verify,1KiB,12,1,0.328168
ubuntu-linux,rsa-pss-3072,sign,1KiB,13,1,2.302735
ubuntu-linux,rsa-pss-3072,verify,1KiB,13,1,0.308430
ubuntu-linux,rsa-pss-3072,sign,1KiB,14,1,2.315420
ubuntu-linux,rsa-pss-3072,verify,1KiB,14,1,0.340481
